name,popu
Alamance,150358
Alexander,36777
Alleghany,10964
Anson,25056
Ashe,25812
Avery,17932
Beaufort,46414
Bertie,19345
Bladen,32343
Brunswick,107062
Buncombe,231452
Burke,89548
Cabarrus,172223
Caldwell,79914
Camden,9730
Carteret,64423
Caswell,23004
Catawba,159125
Chatham,64772
Cherokee,26307
Chowan,14784
Clay,10333
Cleveland,99274
Columbus,54221
Craven,98529
Cumberland,315207
Currituck,24216
Dare,34296
Davidson,158582
Davie,41420
Duplin,53177
Durham,269706
Edgecombe,51853
Forsyth,359638
Franklin,60088
Gaston,208958
Gates,11768
Graham,8001
Granville,57639
Greene,20658
Guilford,480362
Halifax,54582
Harnett,115761
Haywood,57109
Henderson,103669
Hertford,23283
Hoke,45148
Hyde,5211
Iredell,158153
Jackson,36891
Johnston,168525
Jones,10071
Lee,60477
Lenoir,56387
Lincoln,76043
McDowell,43988
Macon,33233
Madison,20442
Martin,23337
Mecklenburg,913639
Mitchell,15634
Montgomery,27745
Moore,87158
Nash,94743
New Hanover,195085
Northampton,20136
Onslow,173064
Orange,129083
Pamlico,12422
Pasquotank,41578
Pender,52378
Perquimans,12734
Person,37667
Pitt,159057
Polk,19255
Randolph,142151
Richmond,45970
Robeson,129559
Rockingham,92252
Rowan,140798
Rutherford,63415
Sampson,63713
Scotland,36292
Stanly,59794
Stokes,46150
Surry,72496
Swain,13404
Transylvania,30203
Tyrrell,4078
Union,198645
Vance,43056
Wake,897214
Warren,19425
Washington,12851
Watauga,45479
Wayne,113811
Wilkes,66555
Wilson,78353
Yadkin,37713
Yancey,18548
